season_id,pitcher_id,pitch_hand,pitch_type,arm_angle,horiz_movement,vert_movement
2025,676254,R,SL,17.9,-15.277486910994764,2.4342931937172776
2025,676263,L,CU,56.2,-6.773,-16.402
2025,676263,L,FF,56.2,6.999226305609285,19.639651837524177
2025,676263,L,SL,56.2,-2.537240075614367,3.8703213610586014
2025,676282,L,CH,53.3,10.3092,12.3964
2025,676282,L,CU,53.3,-8.178175895765472,-18.047231270358306
2025,676282,L,FF,53.3,7.053420669577875,16.866812227074234
2025,676282,L,SL,53.3,-4.940559440559441,5.600699300699301
2025,676395,L,CH,26.2,16.46727272727273,1.6741818181818182
2025,676395,L,FF,26.2,10.676605504587156,13.75665137614679
2025,676395,L,SL,26.2,-3.7593869731800766,3.0846743295019157
2025,676428,L,CH,28.8,14.767857142857142,1.0901785714285714
2025,676428,L,FF,28.8,4.1589285714285715,10.225
2025,676428,L,SI,28.8,16.379891304347826,3.3121376811594203
2025,676428,L,ST,28.8,-10.649397590361446,1.6382530120481926
2025,676440,R,CH,54.1,12.00688888888889,11.431111111111111
2025,676440,R,CU,54.1,-10.386184210526316,-8.490131578947368
2025,676440,R,FC,54.1,-7.953225806451613,3.184516129032258
2025,676440,R,FF,54.1,5.595888754534462,14.651753325272068
2025,676440,R,SI,54.1,14.119555555555555,9.505333333333333
2025,676440,R,ST,54.1,-16.019787234042553,-1.9970212765957447
2025,676467,L,CH,31.1,12.132456140350877,6.816666666666666
2025,676467,L,CU,31.1,-13.113513513513514,-1.7756756756756757
2025,676467,L,FF,31.1,9.983865546218487,16.28705882352941
2025,676467,L,SI,31.1,15.772611464968152,12.517834394904458
2025,676467,L,ST,31.1,-10.180320366132722,6.008466819221968
2025,676477,R,CH,39.5,16.746341463414634,0.1849593495934959
2025,676477,R,SI,39.5,12.959172661870504,15.118345323741007
2025,676477,R,SL,39.5,-3.518904109589041,-5.926849315068493
2025,676508,R,CU,46.5,-10.223076923076922,-14.535714285714286
2025,676508,R,FC,46.5,-5.424363636363636,6.9523636363636365
2025,676508,R,FF,46.5,2.808333333333333,17.888541666666665
2025,676508,R,ST,46.5,-13.984236453201971,-0.8866995073891623
2025,676534,R,CU,43.5,-9.89245283018868,-12.731446540880503
2025,676534,R,FC,43.5,-3.7576923076923077,2.0653846153846156
2025,676534,R,FF,43.5,7.746739130434783,15.4
2025,676534,R,SI,43.5,16.82170542635659,6.086821705426357
2025,676534,R,ST,43.5,-13.800523560209424,-1.4952879581151832
2025,676571,L,CH,15.8,13.395744680851063,-1.9734042553191489
2025,676571,L,FF,15.8,14.936021505376344,9.119892473118279
2025,676571,L,ST,15.8,-9.442574257425743,5.589108910891089
2025,676604,R,FF,35.5,8.725,16.17794117647059
2025,676604,R,ST,35.5,-17.648809523809526,4.439285714285714
2025,676617,R,SI,28.9,15.86967213114754,6.118032786885246
2025,676617,R,SL,28.9,-3.6956521739130435,3.2486956521739128
2025,676617,R,ST,28.9,-16.741614906832297,-2.301242236024845
2025,676661,R,FC,53.1,-4.137373737373737,4.233333333333333
2025,676661,R,FF,53.1,1.143137254901961,16.34285714285714
2025,676664,L,CH,25.3,16.453672316384182,3.6110169491525426
2025,676664,L,CU,25.3,-4.583908045977012,-1.5977011494252873
2025,676664,L,FF,25.3,11.855310199789695,14.06677181913775
2025,676664,L,SI,25.3,15.766875,7.600625
2025,676664,L,SL,25.3,-3.6797546012269935,9.608588957055215
2025,676664,L,ST,25.3,-12.516797488226059,6.501569858712716
2025,676684,R,CH,52.4,15.6,4.9475
2025,676684,R,FF,52.4,5.7501677852349,16.67231543624161
2025,676684,R,SI,52.4,13.996315789473684,11.200526315789473
2025,676684,R,SL,52.4,-5.141328413284133,-0.41217712177121774
2025,676702,R,FC,37.9,-3.0904109589041093,10.282191780821918
2025,676702,R,FF,37.9,4.156875,14.975
2025,676702,R,SL,37.9,-9.42020202020202,0.5515151515151514
2025,676742,R,FF,35.3,5.6688311688311686,16.26103896103896
2025,676755,R,CH,49.4,11.392307692307693,8.715384615384615
2025,676755,R,FF,49.4,8.229672131147542,18.741803278688526
2025,676755,R,SL,49.4,-3.1231884057971016,5.207246376811594
2025,676760,R,FF,28.9,14.456962025316455,13.340506329113923
2025,676879,L,CH,50.2,13.686885245901639,3.694262295081967
2025,676879,L,CU,50.2,-7.971794871794872,-17.20989010989011
2025,676879,L,SI,50.2,14.92566037735849,7.314150943396227
2025,676879,L,SL,50.2,-9.653571428571428,-7.045238095238095
2025,676917,R,CH,43.9,17.693457943925235,6.108411214953271
2025,676917,R,FC,43.9,-0.4625,8.6453125
2025,676917,R,FF,43.9,4.357081545064378,15.03991416309013
